id,image,product_id
73,https://i5.walmartimages.com/asr/5e9f3662-cab5-4c44-a3d3-1c30e74a73fe.2d2290b90f30388a4218e5da2c3fed50.png?odnHeight=612&odnWidth=612&odnBg=FFFFFF,73
74, https://images-na.ssl-images-amazon.com/images/I/31LDwrdXLtL.jpg,74
75, https://images-na.ssl-images-amazon.com/images/I/41WdfNDMUTL.jpg,75
76,https://m.media-amazon.com/images/I/51m56yN0UzL._AC_.jpg,76
77, https://images-na.ssl-images-amazon.com/images/I/31fvOslgv5L.jpg ,77
78, https://images-na.ssl-images-amazon.com/images/I/41IwgmKmk0L.jpg,78
79, https://images-na.ssl-images-amazon.com/images/I/51JyOXDGJyL.jpg,79
80, https://images-na.ssl-images-amazon.com/images/I/41PJaoWS9zL.jpg,80
81, https://images-na.ssl-images-amazon.com/images/I/51Spa6vQv3L.jpg,81
82, https://images-na.ssl-images-amazon.com/images/I/41TkFJt4jvL.jpg,82
83, https://images-na.ssl-images-amazon.com/images/I/41EaQoUoaNL.jpg,83
84, https://images-na.ssl-images-amazon.com/images/I/41kZBGomEuL.jpg,84
85, https://images-na.ssl-images-amazon.com/images/I/41-nVbdQ%2BmL.jpg,85
86, https://images-na.ssl-images-amazon.com/images/I/419TI3oGDJL.jpg,86
87, https://images-na.ssl-images-amazon.com/images/I/419mYXWhnfL.jpg,87
88, https://images-na.ssl-images-amazon.com/images/I/41PdakjC%2BJL.jpg,88
89,https://images-na.ssl-images-amazon.com/images/I/51d39SumKlL.jpg,44
90,https://images-na.ssl-images-amazon.com/images/I/41HtNoHZhYL.jpg,44
91,https://images-na.ssl-images-amazon.com/images/I/51%2BOOjveUpL.jpg,44
92,https://images-na.ssl-images-amazon.com/images/I/51bxAkXnbML.jpg,44
93,https://images-na.ssl-images-amazon.com/images/I/31PTpZwEY2L.jpg,46
94,https://images-na.ssl-images-amazon.com/images/I/41gnshxSlbL.jpg,46
95,https://images-na.ssl-images-amazon.com/images/I/41YznyWSL7L.jpg,47
96,https://images-na.ssl-images-amazon.com/images/I/51LKUH2KffL.jpg,47
97,https://images-na.ssl-images-amazon.com/images/I/41WnyXNGH0L.jpg,47
98,https://images-na.ssl-images-amazon.com/images/I/51L-u03YhnL.jpg,47
99,https://images-na.ssl-images-amazon.com/images/I/51z5lMAgMRL.jpg,47
